@relation class_core_vector-weka.filters.unsupervised.attribute.Remove-R2-5

@attribute commitID numeric
@attribute classInnerCount numeric
@attribute classOuterCount numeric
@attribute classInnerCount:maxInnerCount numeric
@attribute classInnerCount:aveInnerCount numeric
@attribute classOuterCount:maxOuterCount numeric
@attribute classOuterCount:aveOuterCount numeric
@attribute classType {0,1}
@attribute classIndex numeric
@attribute isCoreType1 numeric
@attribute isCoreType2 {0,1}
@attribute isCoreType3 {0,1}
@attribute isCoreType4 numeric
@attribute isCoreType5 {0,1}
@attribute classInnerCountWeight numeric
@attribute classOuterCountWeight numeric
@attribute classNum numeric
@attribute MethodNum numeric
@attribute methodWeight numeric
@attribute newethodNum numeric
@attribute newMethodWeight numeric
@attribute changeMethodNum numeric
@attribute changeMethodWeight numeric
@attribute deleteMethodNum numeric
@attribute deleteMethodWeight numeric
@attribute methodsInnerCount numeric
@attribute methodsOuterCount numeric
@attribute statementNum numeric
@attribute statementWeight numeric
@attribute statementNum:maxStatementNum numeric
@attribute statementNum:aveStatementNum numeric
@attribute newStatementNum numeric
@attribute newStatementWeight numeric
@attribute changeStatementNum numeric
@attribute changeStatementWeight numeric
@attribute deleteStatementNum numeric
@attribute deleteStatementWeight numeric
@attribute class numeric

@data
1,2,0,5,1,0,0,0,0,4,1,0,6,0,4,0,4,1,1,1,5,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
1,2,2,5,1,2,1,1,0,2,0,1,4,0,4,4,4,4,4,0,0,4,6,0,0,0,0,8,5,3,2,0,0,7,6,0,0,0
1,1,5,2,0,5,3,1,0,2,0,1,1,0,2,6,4,4,4,1,5,2,3,1,6,0,0,8,6,5,3,8,6,1,1,0,0,0
1,1,3,2,0,3,1,1,0,2,0,1,2,0,2,5,4,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
2,3,1,5,2,2,0,0,0,2,0,1,6,0,5,2,4,7,6,7,6,0,0,0,0,0,0,10,6,5,3,8,6,0,0,0,0,1
2,1,2,1,0,5,1,0,0,2,0,0,3,0,2,4,4,4,2,4,3,0,0,0,0,0,0,6,1,0,0,6,1,0,0,0,0,0
2,1,1,1,0,2,0,1,0,2,0,0,4,0,2,2,4,2,1,0,0,2,4,0,0,0,0,8,2,1,1,1,1,7,4,4,6,0
2,0,1,0,0,2,0,1,0,1,0,0,3,0,0,2,4,1,1,0,0,1,2,0,0,0,0,8,2,1,1,5,1,7,6,0,0,0
2,0,2,0,0,5,1,1,0,1,0,0,2,0,0,4,4,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
2,3,1,5,2,2,0,1,0,2,0,1,6,0,5,2,4,1,1,0,0,1,2,0,0,0,1,4,1,0,0,3,1,0,0,1,1,0
4,2,1,5,1,1,0,1,0,2,0,0,5,0,5,3,2,1,2,0,0,1,2,0,0,0,0,2,2,1,0,0,0,0,0,2,6,1
4,0,3,0,0,5,2,1,0,1,0,0,1,0,0,6,2,4,6,1,6,3,5,0,0,0,0,6,6,5,2,5,6,1,4,0,0,0
4,2,1,5,1,1,0,1,0,2,0,0,5,0,5,3,2,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0
4,2,1,5,1,1,0,1,0,2,0,0,5,0,5,3,2,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0
