@relation 'lineCommentData-weka.filters.unsupervised.attribute.Remove-R41,45-46,50-57,61,65-66,73,81,85-86,103-106,110-weka.filters.unsupervised.attribute.Remove-R30-34,37,40-43,49-52,56-62,65-68-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R25-26-weka.filters.unsupervised.attribute.Remove-R26-42,51-71-weka.filters.unsupervised.attribute.Remove-R27'

@attribute commentID numeric
@attribute diffSize numeric
@attribute insertStatement numeric
@attribute insertStatementWeight numeric
@attribute deleteStatement numeric
@attribute deleteStatementWeight numeric
@attribute updateStatement numeric
@attribute updateStatementWeight numeric
@attribute parentChange numeric
@attribute parentChangeWeight numeric
@attribute orderingChange numeric
@attribute orderingChangeWeight numeric
@attribute conditionChange numeric
@attribute conditionChangeWeight numeric
@attribute insertAlternative numeric
@attribute insertAlternativeWeight numeric
@attribute deleteAlternative numeric
@attribute deleteAlternativeWeight numeric
@attribute newAllLine numeric
@attribute oldAllLine numeric
@attribute subLine numeric
@attribute changeLine numeric
@attribute changeLineWeight numeric
@attribute firstDiffLocation numeric
@attribute tokenChange numeric
@attribute wordSize numeric
@attribute codeSimilarity numeric
@attribute oldCodeCommentSimilarity numeric
@attribute newCodeCommentSimilarity numeric
@attribute subSimilarity numeric
@attribute addWordNumber numeric
@attribute deleteWordNumber numeric
@attribute class {0,1}

@data
3,4,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,8,0,4,1,7,1,2,10,8,8,0,2,1,0
9,6,1,2,1,2,2,3,0,0,0,0,3,4,0,0,0,0,7,7,3,6,5,5,0,3,11,6,6,0,1,0,0
12,2,1,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,2,1,8,0,6,10,7,8,10,2,1,0
15,5,0,0,2,4,2,4,0,0,0,0,1,2,0,0,0,0,6,7,2,5,6,4,0,5,10,8,8,0,1,3,0
21,2,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,2,2,2,1,0,3,10,8,8,0,0,4,0
30,2,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,4,4,0,2,5,1,0,7,11,6,6,0,1,0,0
33,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,1,2,6,0,5,9,3,3,0,0,5,0
39,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,3,3,0,1,4,2,0,6,11,3,3,0,0,0,0
42,3,2,5,0,0,0,0,1,3,0,0,0,0,1,3,0,0,6,4,5,6,0,3,0,8,10,6,6,0,5,0,0
45,6,4,5,2,3,1,2,0,0,0,0,0,0,0,0,0,0,8,8,1,6,3,7,0,6,10,8,8,0,4,1,0
48,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,7,0,3,11,6,6,0,0,0,0
51,3,1,3,1,3,1,3,0,0,0,0,0,0,0,0,0,0,7,7,0,3,3,6,1,3,10,8,8,0,1,2,0
57,6,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,7,0,1,0,2,8,5,6,7,6,2,0
60,6,2,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,3,6,7,6,0,2,11,8,8,0,0,0,0
72,2,0,0,0,0,1,4,0,0,0,0,1,4,0,0,0,0,6,6,0,2,3,4,1,5,10,8,8,0,1,1,0
